x_est,y_est,th_est,x_gt,y_gt,th_gt,pos_err
3.175420,-1.865672,0.289348,3.461716,-2.056180,1.525485,0.343887
3.177642,-1.865011,0.289399,3.461858,-2.053055,1.525551,0.340793
3.179547,-1.864444,0.289444,3.461889,-2.052370,1.525567,0.339165
3.181566,-1.863842,0.289495,3.462009,-2.049718,1.525627,0.336449
3.183303,-1.863325,0.289539,3.462094,-2.047829,1.525672,0.334315
3.184962,-1.862830,0.290761,3.462176,-2.046020,1.525717,0.332275
3.186826,-1.862263,0.299920,3.462297,-2.043281,1.531736,0.329625
3.188756,-1.861662,0.303134,3.462315,-2.042823,1.534029,0.328107
3.191246,-1.860883,0.303236,3.462439,-2.038981,1.539300,0.324445
3.194194,-1.859961,0.303289,3.462507,-2.036839,1.539340,0.321368
3.196776,-1.859153,0.303337,3.462575,-2.034684,1.539377,0.318528
3.199222,-1.858387,0.303386,3.462705,-2.030539,1.539453,0.314738
3.201827,-1.857571,0.303439,3.462748,-2.029145,1.539480,0.312278
3.204045,-1.856877,0.303487,3.462833,-2.026429,1.539533,0.309385
3.206168,-1.856212,0.303535,3.462898,-2.024373,1.539576,0.306901
3.208420,-1.855507,0.303587,3.462982,-2.021669,1.539633,0.303993
3.210369,-1.854896,0.303633,3.463040,-2.019794,1.539675,0.301719
3.212231,-1.854312,0.303680,3.463131,-2.016874,1.539742,0.298960
3.214014,-1.853754,0.303726,3.463178,-2.015382,1.539779,0.296995
3.215899,-1.853163,0.303778,3.463253,-2.012936,1.539840,0.294468
3.217534,-1.852649,0.305638,3.463295,-2.011579,1.539876,0.292673
3.219548,-1.852002,0.316122,3.463337,-2.010258,1.541798,0.290651
3.221557,-1.851340,0.320397,3.463405,-2.007122,1.555584,0.287678
3.224467,-1.850374,0.320492,3.463424,-2.005798,1.556149,0.285056
3.226339,-1.849753,0.320524,3.463465,-2.003010,1.556221,0.282341
3.229049,-1.848853,0.320574,3.463498,-2.000715,1.556259,0.279336
3.231677,-1.847980,0.320624,3.463535,-1.998185,1.556304,0.276260
3.233365,-1.847419,0.320658,3.463562,-1.996325,1.556337,0.274159
3.235258,-1.846791,0.320697,3.463613,-1.992776,1.556404,0.271030
3.237868,-1.845924,0.320752,3.463649,-1.990257,1.556454,0.267972
3.240135,-1.845171,0.320801,3.463669,-1.988899,1.556481,0.265754
3.242533,-1.844374,0.320856,3.463706,-1.986253,1.556536,0.262769
3.244603,-1.843686,0.320904,3.463739,-1.983986,1.556585,0.260201
3.246808,-1.842953,0.320958,3.463770,-1.981806,1.556634,0.257590
3.248709,-1.842321,0.321006,3.463793,-1.980167,1.556671,0.255466
3.250535,-1.841713,0.321054,3.463831,-1.977482,1.556735,0.252840
3.252481,-1.841066,0.321107,3.463861,-1.975349,1.556788,0.250426
3.254164,-1.840506,0.321154,3.463886,-1.973509,1.556836,0.248341
3.255961,-1.839906,0.323830,3.463916,-1.971353,1.556894,0.246016
3.258150,-1.839157,0.335679,3.463949,-1.968374,1.566903,0.243003
3.260253,-1.838417,0.341175,3.463948,-1.966428,1.575287,0.240579
3.262891,-1.837480,0.341211,3.463938,-1.964471,1.576263,0.237795
3.265142,-1.836681,0.341154,3.463926,-1.962209,1.576223,0.235100
3.267949,-1.835684,0.341085,3.463913,-1.959821,1.576167,0.231973
3.270375,-1.834823,0.341024,3.463892,-1.955882,1.576075,0.228263
3.272130,-1.834200,0.340978,3.463883,-1.954295,1.576037,0.226257
3.274661,-1.833302,0.340910,3.463875,-1.952748,1.575999,0.223761
3.277104,-1.832436,0.340841,3.463855,-1.948895,1.575900,0.220088
3.279439,-1.831608,0.340773,3.463841,-1.946078,1.575824,0.217043
